"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","793","API Setup: authenticate via API","api-setup","2026-09-02","passed","2026-09-02","","setup/api-auth.setup.ts","",""
"","246","SQ-XXX: should fail without token","integration","2026-09-02","passed","2026-09-02","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1044","SQ-XXX: should load dashboard with authenticated session","e2e","2026-09-02","passed","2026-09-02","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4192","UI Setup: authenticate via UI","ui-setup","2026-09-02","passed","2026-09-02","","setup/ui-auth.setup.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-02","passed","2026-09-02","","teardown/global.teardown.ts","",""
"","3","Global Setup: prepare environment","global-setup","2026-09-02","passed","2026-09-02","","setup/global.setup.ts","",""
"","530","SQ-XXX: should be able to re-authenticate","integration","2026-09-02","passed","2026-09-02","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3245","SQ-90: TC1: Should create client with valid data","e2e","2026-09-02","failed","2026-09-02","Create Client","e2e/clients/createClient.test.ts","",""
"","314","SQ-XXX: should get current user with valid token","integration","2026-09-02","passed","2026-09-02","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","321","SQ-XXX: should access user info via API with session token","e2e","2026-09-02","passed","2026-09-02","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
