"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1914","SQ-XXX: should load dashboard with authenticated session","smoke","2026-07-09","passed","2026-07-09","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3","Global Setup: prepare environment","global-setup","2026-07-09","passed","2026-07-09","","setup/global.setup.ts","",""
"","5","Global Teardown: generate reports and sync TMS","global-teardown","2026-07-09","passed","2026-07-09","","teardown/global.teardown.ts","",""
"","3176","UI Setup: authenticate via UI","ui-setup","2026-07-09","passed","2026-07-09","","setup/ui-auth.setup.ts","",""
"","351","SQ-XXX: should access user info via API with session token","smoke","2026-07-09","passed","2026-07-09","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","73","SQ-XXX: should get current user with valid token","smoke","2026-07-09","passed","2026-07-09","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","67","SQ-XXX: should fail without token","smoke","2026-07-09","passed","2026-07-09","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","2945","SQ-90: TC1: Should create client with valid data","smoke","2026-07-09","failed","2026-07-09","Create Client","e2e/clients/createClient.test.ts","",""
"","175","SQ-XXX: should be able to re-authenticate","smoke","2026-07-09","passed","2026-07-09","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","507","API Setup: authenticate via API","api-setup","2026-07-09","passed","2026-07-09","","setup/api-auth.setup.ts","",""
